country,segment,subsegment,source_organization,dataset_name,official_url,data_year,as_of_date,reported_count,unit_definition,geographic_scope,source_tier,confidence,verified_status,deduplication_notes,eligibility_use,limitations,notes
Pakistan,Institutions,HEC-recognized campuses,Higher Education Commission,HEC recognized Campuses page,https://www.hec.gov.pk/english/universities/Pages/DAIs/HEC-recognized-Campuses.aspx,NOT STATED,accessed 2026-09-10,"150 headline total; body private-sector section says 54","Current page headline states 95 public plus 55 private campuses, while body labels private total 54",Pakistan,4,MEDIUM,VERIFIED_EXTERNAL_FACT,"Campus count must not be added to university/legal-entity count",Non-monetized supply-side reference only,"Internal one-campus discrepancy; not a unique institution count","Use only as page-stated campus reference"
Pakistan,Institutions,HEC-recognized universities/DAIs,Higher Education Commission,Recognized Universities list,https://www.hec.gov.pk/english/universities/pages/recognised.aspx,NOT VERIFIED,accessed 2026-09-10,COUNT NOT VERIFIED,"Recognized university/DAI list; exact aggregate not published in reviewed page",Pakistan,4,MEDIUM,COUNT_NOT_VERIFIED,"Deduplicate university systems and campuses before any institution count",Non-monetized supply-side reference only,"The list is authoritative for recognition but does not expose a single verified national total in the reviewed page","Never multiply by ARPA"
Pakistan,Institutions,Total higher-education institutions,Higher Education Commission,Annual Report 2023-24 Pakistani HEIs comparison,https://www.hec.gov.pk/english/news/AnnualReports/Annual-Report-2023-24.pdf,2023-24,not stated,262,"Total HEIs reported in HEC comparative table; organization-level reference but exact composition/deduplication not exposed",Pakistan,4,MEDIUM,VERIFIED_EXTERNAL_FACT,"Keep separate from campuses and PBS establishments; do not assume exact identity with the current recognized-university page",Non-monetized supply-side reference only,"HEC report reports Total HEIs and cites the recognized-universities page, but does not publish a row-level organization list or explicit unique-DAI methodology","Best published HEC organization-level reference located"
Pakistan,Institutions,Technical and vocational institutes,NAVTTC,NAVTTC registration and national network,https://test.navttc.gov.pk/registration/,NOT STATED,accessed 2026-09-10,"3,500+ registered institutes","Registered TVET institute network; approximate count",Pakistan,3,MEDIUM,PROXY,"Do not add to Economic Survey institute count; preserve registry/network definition",Non-monetized supply-side reference only,"Approximate network figure; public page does not expose a precise deduplicated national export","NAVTTC page also shows regional counts"
United States,Employers,Employer firms,U.S. Census Bureau,2022 Economic Census first-look firm total,https://www.census.gov/library/stories/2024/06/economic-census-annual-business-survey-results.html,2022,first-look published 2024,"Approximately 6.2 million firms","Company-level firm count; firms may contain one or more establishments",United States,1,HIGH,VERIFIED_EXTERNAL_FACT,"Use firm/company unit once; do not add establishments",Primary broad employer reference,"Approximate first-look aggregate; detailed universe and size extraction remain separate","Closer to unique employer organization than establishment totals"
United States,Employers,Employer establishments,U.S. Census Bureau,2022 Economic Census first-look establishment total,https://www.census.gov/library/stories/2024/06/economic-census-annual-business-survey-results.html,2022,first-look published 2024,"Approximately 8.0 million establishments","Single physical employer business locations",United States,1,HIGH,PROXY,"Do not count branches or locations as organizations",Cross-check only,"One firm may operate multiple establishments","Not a unique employer-organization denominator"
United States,Employers,Employer workforce,U.S. Census Bureau,2022 Economic Census first-look employee total,https://www.census.gov/library/stories/2024/06/economic-census-annual-business-survey-results.html,2022,first-look published 2024,"Approximately 140.0 million employees","Employees associated with employer firms/establishments",United States,1,HIGH,VERIFIED_EXTERNAL_FACT,"Workforce is not an organization count",Employment context only,"Does not identify unique employers","Not used as market denominator"
United States,Employers,Employer firms,U.S. Census Bureau,2023 Annual Business Survey company summary,https://data.census.gov/table/ABSCS2023.AB2300CSA01,2023,reference year 2023; released 2025-11-20,5934950,"Employer companies/firms with paid employees; in operation for part of year; annual receipts at least $1,000; 19 in-scope sectors",United States,1,HIGH,VERIFIED_EXTERNAL_FACT,"ABS all-sector U.S. total counts a multi-establishment firm once",Conservative direct organization proxy,"Excludes specified NAICS sectors and firms below the ABS receipt threshold; scope differs from Economic Census","Latest exact direct employer-firm count located"
United States,Employers,Employer establishments,U.S. Census Bureau,2023 County Business Patterns,https://www.census.gov/data/datasets/2023/econ/cbp/2023-cbp.html,2023,reference year 2023,COUNT NOT VERIFIED,"Employer establishments in operation for part of 2023 with paid employees",United States,1,HIGH,COUNT_NOT_VERIFIED,"Establishment/location unit; do not treat as unique firms",Establishment cross-check only,"Exact national count not transcribed in this pass; one organization may have multiple establishments","Size and state data are available separately"
United States,Employers,Firm size distribution,U.S. Census Bureau,2023 Business Dynamics Statistics Firm Size,https://www.census.gov/data/datasets/time-series/econ/bds/bds-datasets.html,2023,release 2025-09-25,COUNT NOT VERIFIED,"Firm and establishment measures by employment-size category; paid-employer universe",United States,1,HIGH,COUNT_NOT_VERIFIED,"Use firm series for organization analysis; preserve official size categories",Size-band source,"Exact nationwide size counts require separate API/download extraction; do not re-bin","Official BDS categories include 1-4, 5-9, 10-19, 20-49, 50-99, 100-249, 250-499, 500-999, 1000+"
United Kingdom,Employers,All private-sector businesses,Department for Business and Trade,Business Population Estimates 2025 Table C,https://www.gov.uk/government/statistics/business-population-estimates-2025/business-population-estimates-for-the-uk-and-regions-2025-statistical-release,2025,start of 2025,5690265,"Private-sector business population including employing and non-employing businesses",United Kingdom,1,HIGH,VERIFIED_EXTERNAL_FACT,"Keep separate from employer-only count and do not add to Companies House stock",Total-population cross-check,"2025 publication is official statistics in development; includes 4,272,535 non-employers","Not the primary employer denominator"
United Kingdom,Employers,All employers,Department for Business and Trade,Business Population Estimates 2025 Table C,https://www.gov.uk/government/statistics/business-population-estimates-2025/business-population-estimates-for-the-uk-and-regions-2025-statistical-release,2025,start of 2025,1417730,"Private-sector businesses with employees; employer business unit",United Kingdom,1,HIGH,VERIFIED_EXTERNAL_FACT,"Count each business once; do not add non-employers or local units",Primary employer reference,"Official statistics in development; one-employee working-proprietor treatment affects the no-employees category","Strongest direct national U.K. employer population located"
United Kingdom,Employers,Micro employers,Department for Business and Trade,Business Population Estimates 2025 Table C,https://www.gov.uk/government/statistics/business-population-estimates-2025/business-population-estimates-for-the-uk-and-regions-2025-statistical-release,2025,start of 2025,1150875,"Employers with 1-9 employees",United Kingdom,1,HIGH,VERIFIED_EXTERNAL_FACT,"Official employer-size band; do not re-bin",Size distribution,"BPE methodology and official-statistics-in-development caveat apply","Preserve official threshold"
United Kingdom,Employers,Small employers,Department for Business and Trade,Business Population Estimates 2025 Table C,https://www.gov.uk/government/statistics/business-population-estimates-2025/business-population-estimates-for-the-uk-and-regions-2025-statistical-release,2025,start of 2025,220085,"Employers with 10-49 employees",United Kingdom,1,HIGH,VERIFIED_EXTERNAL_FACT,"Official employer-size band; do not re-bin",Size distribution,"BPE methodology and official-statistics-in-development caveat apply","Preserve official threshold"
United Kingdom,Employers,Medium employers,Department for Business and Trade,Business Population Estimates 2025 Table C,https://www.gov.uk/government/statistics/business-population-estimates-2025/business-population-estimates-for-the-uk-and-regions-2025-statistical-release,2025,start of 2025,38435,"Employers with 50-249 employees",United Kingdom,1,HIGH,VERIFIED_EXTERNAL_FACT,"Official employer-size band; do not re-bin",Size distribution,"BPE methodology and official-statistics-in-development caveat apply","Preserve official threshold"
United Kingdom,Employers,Large employers,Department for Business and Trade,Business Population Estimates 2025 Table C,https://www.gov.uk/government/statistics/business-population-estimates-2025/business-population-estimates-for-the-uk-and-regions-2025-statistical-release,2025,start of 2025,8335,"Employers with 250 or more employees",United Kingdom,1,HIGH,VERIFIED_EXTERNAL_FACT,"Official employer-size band; do not re-bin",Size distribution,"BPE methodology and official-statistics-in-development caveat apply","Preserve official threshold"
United Kingdom,Employers,VAT/PAYE businesses,Office for National Statistics,UK business activity size and location 2025,https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/bulletins/ukbusinessactivitysizeandlocation/latest,2025,March 2025,"2.73 million","VAT and/or PAYE businesses from IDBR; enterprise-oriented but not employer-only headline",United Kingdom,1,HIGH,PROXY,"Use enterprise unit; do not add local units",Registered-business cross-check,"Includes businesses without a separately selected employer-only filter in the headline","Not the primary employer denominator"
United Kingdom,Employers,Local units/sites,Office for National Statistics,UK business activity size and location 2025,https://www.ons.gov.uk/releases/ukbusinessactivitysizeandlocation2025,2025,14 March 2025,"Approximately 3.2 million","Local units/sites associated with enterprises",United Kingdom,1,HIGH,PROXY,"Do not count branches/sites as unique organizations",Local-unit cross-check only,"A single enterprise may have multiple local units","Not a unique employer denominator"
United Kingdom,Employers,Registered companies and corporate bodies,Companies House,Companies register activities April 2025 to March 2026,https://www.gov.uk/government/statistics/companies-register-activities-statistical-release-april-2025-to-march-2026/companies-register-activities-statistical-release-april-2025-to-march-2026,2026,31 March 2026,5479045,"Companies/corporate bodies on total register",United Kingdom,3,HIGH,PROXY,"Do not add to BPE employers; legal register records need activity/employer filtering",Formal-company cross-check only,"Companies House states registered companies may not actively trade; total register includes non-operating corporate bodies","Unsuitable as headline employer count"
